Concello compuesto,id bruto,Concello bruto,,Concello_id,Concello,Renta disponible bruta per capita [miles de euros],2023
"36017 Estrada, A ",36017,"Estrada, A ",,36017,"Estrada, A ",16.845,"16,845"
36018 Forcarei ,36018,Forcarei,,36018,Forcarei,15.824,"15,824"
36019 Fornelos de Montes ,36019,Fornelos de Montes ,,36019,Fornelos de Montes ,14.157,"14,157"
36020 Agolada ,36020,Agolada,,36020,Agolada,15.625,"15,625"
36021 Gondomar ,36021,Gondomar,,36021,Gondomar,18.197,"18,197"
"36022 Grove, O ",36022,"Grove, O ",,36022,"Grove, O ",17.105,"17,105"
"36023 Guarda, A ",36023,"Guarda, A",,36023,"Guarda, A",16.388,"16,388"
36024 Lalín ,36024,Lalín,,36024,Lalín,15.920,"15,920"
"36025 Lama, A ",36025,"Lama, A ",,36025,"Lama, A ",11.505,"11,505"
36026 Marín ,36026,Marín,,36026,Marín,16.185,"16,185"
36027 Meaño ,36027,Meaño,,36027,Meaño,16.619,"16,619"
36028 Meis ,36028,Meis,,36028,Meis,15.573,"15,573"
36029 Moaña ,36029,Moaña,,36029,Moaña,17.793,"17,793"
36030 Mondariz ,36030,Mondariz,,36030,Mondariz,15.157,"15,157"
36031 Mondariz-Balneario ,36031,Mondariz-Balneario,,36031,Mondariz-Balneario,15.809,"15,809"
36032 Moraña ,36032,Moraña,,36032,Moraña,14.981,"14,981"
36033 Mos ,36033,Mos,,36033,Mos,16.553,"16,553"
"36034 Neves, As ",36034,"Neves, As ",,36034,"Neves, As ",15.524,"15,524"
36035 Nigrán ,36035,Nigrán,,36035,Nigrán,22.994,"22,994"
36036 Oia ,36036,Oia,,36036,Oia,16.773,"16,773"
36037 Pazos de Borbén ,36037,Pazos de Borbén ,,36037,Pazos de Borbén ,15.151,"15,151"
36038 Pontevedra ,36038,Pontevedra,,36038,Pontevedra,20.795,"20,795"
"36039 Porriño, O ",36039,"Porriño, O ",,36039,"Porriño, O ",16.351,"16,351"
36040 Portas ,36040,Portas,,36040,Portas,16.136,"16,136"
36041 Poio ,36041,Poio,,36041,Poio,19.998,"19,998"
36042 Ponteareas ,36042,Ponteareas,,36042,Ponteareas,16.069,"16,069"
36043 Ponte Caldelas ,36043,Ponte Caldelas ,,36043,Ponte Caldelas ,15.763,"15,763"
36044 Pontecesures ,36044,Pontecesures,,36044,Pontecesures,17.160,"17,160"
36045 Redondela ,36045,Redondela,,36045,Redondela,17.680,"17,680"
36046 Ribadumia ,36046,Ribadumia,,36046,Ribadumia,16.349,"16,349"
36047 Rodeiro ,36047,Rodeiro,,36047,Rodeiro,17.125,"17,125"
"36048 Rosal, O ",36048,"Rosal, O ",,36048,"Rosal, O ",16.108,"16,108"
36049 Salceda de Caselas ,36049,Salceda de Caselas ,,36049,Salceda de Caselas ,16.704,"16,704"
36050 Salvaterra de Miño ,36050,Salvaterra de Miño,,36050,Salvaterra de Miño,15.590,"15,590"
36051 Sanxenxo ,36051,Sanxenxo,,36051,Sanxenxo,18.522,"18,522"
36052 Silleda ,36052,Silleda,,36052,Silleda,17.674,"17,674"
36053 Soutomaior ,36053,Soutomaior,,36053,Soutomaior,16.402,"16,402"
36054 Tomiño ,36054,Tomiño,,36054,Tomiño,15.852,"15,852"
36055 Tui ,36055,Tui,,36055,Tui,16.207,"16,207"
36056 Valga ,36056,Valga,,36056,Valga,15.586,"15,586"
36057 Vigo ,36057,Vigo,,36057,Vigo,20.061,"20,061"
36058 Vilaboa ,36058,Vilaboa,,36058,Vilaboa,16.529,"16,529"
36059 Vila de Cruces ,36059,Vila de Cruces ,,36059,Vila de Cruces ,15.500,"15,500"
36060 Vilagarcía de Arousa ,36060,Vilagarcía de Arousa ,,36060,Vilagarcía de Arousa ,16.873,"16,873"
36061 Vilanova de Arousa ,36061,Vilanova de Arousa ,,36061,Vilanova de Arousa ,15.592,"15,592"
"36901 Illa de Arousa, A ",36901,"Illa de Arousa, A ",,36901,"Illa de Arousa, A ",15.867,"15,867"
36902 Cerdedo-Cotobade,36902,Cerdedo-Cotobade,,36902,Cerdedo-Cotobade,14.904,"14,904"
